Time,Acc1_X,Acc1_Y,Acc1_Z,Acc2_X,Acc2_Y,Acc2_Z,Acc3_X,Acc3_Y,Acc3_Z,AccF1_X,AccF1_Y,AccF1_Z,AccF2_X,AccF2_Y,AccF2_Z,AccF3_X,AccF3_Y,AccF3_Z,Vel1_X,Vel1_Y,Vel1_Z,Vel2_X,Vel2_Y,Vel2_Z,Vel3_X,Vel3_Y,Vel3_Z,Pos1_X,Pos1_Y,Pos1_Z,Pos2_X,Pos2_Y,Pos2_Z,Pos3_X,Pos3_Y,Pos3_Z
0.25,-5.444960757953158e-16,-2.967805508527077e-16,-1.0452272480183435,-6.665975979726786e-17,-1.2969519422556166e-16,-1.0191172650877818,4.6431010867953776e-17,1.027592930131913e-16,-1.011236866416568,-4.0227282356623535e-05,0.00020342723025623037,-1.0449891774004743,0.0004278072853809936,0.0009670982950355604,-1.0192215642963125,3.057747375685878e-05,0.00010989863471321833,-1.0113423779526274,2.1377745392978618e-07,7.675485443316902e-08,-2.437757193925606e-07,3.785155779849163e-08,-9.317897033061064e-07,2.0258002750249133e-07,1.9768793312112485e-07,-5.045862745581102e-08,2.3474549753522977e-07,0.2,0.0,0.0,0.2,0.0,0.55,0.0,0.0,1.05
0.3,-5.444960757953158e-16,-2.967805508527077e-16,-1.0452272480183435,-0.01997635708246943,0.010045229929188862,-1.0193135133575848,0.011247016213861294,-0.006460083005813197,-1.0056002048298534,0.003351799743338144,0.0012085997040728836,-1.0464751638172543,0.000734750776225029,0.0023914929504008763,-1.0208621179134307,0.007513184672632366,-0.0016912800404259506,-1.0101668429201245,0.0017389224624043092,0.0005192628043547156,-0.0007602061444903877,0.00017221143917679906,0.0007248160913608409,-0.0008370194988447061,0.003837907884182765,-0.0009246690932459998,0.0006056456480104596,0.2,0.0,0.0,0.2,0.0,0.55,0.0,0.0,1.05
0.36,0.011728156931705274,0.0009504863124379012,-1.0530724319393967,-0.009207962262724755,-0.008484797372169136,-1.0256915821261874,0.009321798199479042,-0.0019252180143821212,-1.0143024192093428,0.006457164155353876,0.002267748008147343,-1.0478755531738497,0.001195366839371082,0.0035108100411901082,-1.0220953111675153,0.01386487331178424,-0.0026538124308538055,-1.0090899939567735,0.002108351202127415,0.0007086926912570664,-0.0009510810386243964,0.0002887556651204865,0.0007746168559538095,-0.0008531919346765359,0.004329953152001921,-0.0006787741664332428,0.000727180268165024,0.2,0.0,0.0,0.2,0.0,0.55,0.0,0.0,1.05
0.42,0.009916613847444172,-0.010045862383905693,-1.0443661912465207,0.010248250634071327,-0.009525085743515812,-1.021177871920715,0.02363436720611493,0.0003169133592939272,-1.004809094431718,0.009005859871754,0.003212757496473256,-1.0491364725553318,0.001466762130211424,0.004019300700510018,-1.0226993203281598,0.01809048816342271,-0.0021933976585834583,-1.008266761194505,0.0016104099458158388,0.0005998713298215674,-0.0007992255051838731,0.00016984880344151837,0.00030788126702438397,-0.0003697662561034993,0.0026441929614977153,0.00032181725095058996,0.0005195899842822868,0.2,0.0,0.0,0.2,0.0,0.55,0.0,0.0,1.05
0.49,0.0018115430842605299,0.010996348696343283,-1.0539334887112195,0.0017367109170629024,0.013322403493511591,-1.0235328511583528,0.020568814413340273,-0.008385301020195421,-1.0086657576226281,0.0108661208566274,0.0036162852033141614,-1.0502631425512228,0.0008090772743625809,0.0033411894366622776,-1.0226599102756557,0.019576265239590513,-0.0001632707841337799,-1.0078293195474124,0.0011167148703118855,0.0002497933939517135,-0.0006766446134517036,-0.0003810104078260854,-0.0004101344324356158,3.348976382454889e-05,0.0008795699500239113,0.001240111730429211,0.00026377495460179365,0.2,0.0,0.0,0.2,0.0,0.55,0.0,0.0,1.05
0.55,0.021440937961792656,0.010792515878985933,-1.05010656972534,0.003993566019799182,0.017639865429180994,-1.0322658991645932,0.020568814413340273,-0.008385301020195421,-1.0086657576226281,0.012076683790466818,0.002972201512801142,-1.0512715895068316,-0.0014191915732928496,0.0009227202115888056,-1.0222077542929795,0.018220428689700967,0.0030557603016865753,-1.0078839740808205,0.00072655763751287,-0.00037718705288545813,-0.0005988336085433779,-0.0013114767240120675,-0.001410798372558119,0.00025238173151339086,-0.000751630375620441,0.0018700234078706684,-2.6753042629134183e-05,0.2,0.0,0.0,0.2,0.0,0.55,0.0,0.0,1.05
0.61,0.02154285437047131,0.0008485699037592196,-1.051158972446457,0.007991395531335047,-0.013842547679185215,-1.0124448239144745,0.0042058875711671355,0.021939293750409875,-1.0122257544142375,0.012871699570588164,0.0010348237338572265,-1.0521139906394836,-0.005212309117588624,-0.0032799894891400116,-1.021763686998177,0.014465155159725704,0.006635025162285583,-1.0085051206276436,0.00046044586941043907,-0.0011431052363474587,-0.0004923969022979867,-0.0022346013227073024,-0.002473523526351134,0.00026119040552088327,-0.0022211673139947022,0.0021012310299165717,-0.00036800349532943805,0.2,0.0,0.0,0.2,0.0,0.55,0.0,0.0,1.05
0.67,-5.444960757953158e-16,-2.967805508527077e-16,-1.0452272480183435,-0.010248250634071403,0.009525085743515552,-1.0170566582548486,0.036021718198368594,0.007093909724400996,-1.0040179840335826,0.013658959447187735,-0.0019097523648498771,-1.0526026009074627,-0.009635457304745472,-0.008474911296728423,-1.0217604991294689,0.009234472490684483,0.00962421880824295,-1.0097057500360431,0.00046150117830603954,-0.001732868289017894,-0.0002870390711304797,-0.0026027026070384062,-0.003062660329413585,6.5999120949767376e-06,-0.00309302592680763,0.0017692404778074397,-0.0007081042047245889,0.2,0.0,0.0,0.2,0.0,0.55,0.0,0.0,1.05
0.73,0.011728156931705274,0.0009504863124379012,-1.0530724319393967,-0.009207962262724755,-0.008484797372169136,-1.0256915821261874,-0.01636292684217309,0.030324594770605454,-1.0147968632081774,0.01487201505482478,-0.005008670296837521,-1.0523920040592323,-0.012969548655927563,-0.01311400944438776,-1.0224129619368452,0.0037812409861506828,0.011398889897008775,-1.011363515403891,0.0007187226424996308,-0.0018232228167445865,0.00012261500652342844,-0.001960864426780294,-0.0027295585097240303,-0.0003855047101646606,-0.003198487735795713,0.0010421786004279267,-0.0009743650836719808,0.2,0.0,0.0,0.2,0.0,0.55,0.0,0.0,1.05
0.79,0.011830073340383928,-0.008993459662788828,-1.0541248346605134,-0.029184319345194176,0.0015604325570198565,-1.0258878303959906,-0.009321798199478948,0.0019252180143823267,-1.0081713136237935,0.016784918080626546,-0.0070509729224567715,-1.0511059212588116,-0.013276209078104999,-0.015444554210399863,-1.023582420141884,-0.0005997252055422828,0.01192760975036699,-1.0131255842106963,0.0011237737075907714,-0.0012023944897803162,0.0007579489352320177,-0.0001803617879225559,-0.0013698391559117734,-0.0006891053782976284,-0.002577390621069427,0.00030952230076194384,-0.0010375116418890886,0.2,0.0,0.0,0.2,0.0,0.55,0.0,0.0,1.05
